created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
2022-04-22 22:17:05+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NorthstarCharts: The 10-year yield is telling us that there's a high risk of something 'breaking' in the system #gold #silver #crypto #…,0.16,0.5399999999999999,en,188,43,davideiacovozzi,18,55,,"[{'text': 'gold', 'indices': [116, 121]}, {'text': 'silver', 'indices': [122, 129]}, {'text': 'crypto', 'indices': [130, 137]}]",,
2022-04-22 13:44:53+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MichaelAArouet: German 10y mortgage rate went from 0,8% to 2,50% 👇 Can you hear the sound of German real estate bubble bursting? https:…",0.15,0.175,en,179,32,davideiacovozzi,18,55,,[],,
2022-04-22 06:10:34+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @goldseek: When? https://t.co/kO2FfHKaZg,0.0,0.0,en,193,26,davideiacovozzi,18,55,False,[],,
2022-04-21 17:22:09+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @charliebilello: The 30-year mortgage rate in the US rises to 5.11%, its highest level since 2010. Last year it hit an all-time low of 2…",0.0,0.1833333333333333,en,620,213,davideiacovozzi,18,55,,[],,
2022-04-21 10:32:26+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @biancoresearch: Rates rise until something breaks … is anything broken yet? https://t.co/brNJeK3WTb,-0.4,0.4,en,1787,417,davideiacovozzi,18,55,False,[],,
2022-04-19 10:59:33+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LanceRoberts: Buying opportunities like this only occur every few years.  #bonds https://t.co/cyTVKNXkZD,-0.1,0.55,en,1156,162,davideiacovozzi,18,55,False,"[{'text': 'bonds', 'indices': [78, 84]}]",,
2022-04-19 10:58:15+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MacroAlf: Welcome to September 2018.

Bond markets testing what risk assets and the private sector can handle.

Until they can’t handle…",0.4,0.6375,en,802,45,davideiacovozzi,18,55,,[],,
2022-04-18 09:31:42+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BotBenFranklin: The horse thinks one thing, and he that saddles him another.",0.0,0.0,en,18,4,davideiacovozzi,18,55,,[],,
2022-04-17 22:04:00+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Galactic_Trader: Global growth optimism at all time lows! 

We should raise rates 8 to 9 more times and see what happens !!! https://t.…",0.48828125,0.25,en,49,4,davideiacovozzi,18,55,,[],,
2022-04-17 18:21:46+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AndreasSteno: This is the most important chart in the world for the demand outlook... 

Demand is softening even before the Fed really…",0.45,0.75,en,882,176,davideiacovozzi,18,55,,[],,
2022-04-16 05:16:20+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @WallStreetSilv: Annual mortgage payments in the US are now 35% higher than at the peak of the 2006 bubble… https://t.co/trUIZC7o5u,0.25,0.5,en,4514,1181,davideiacovozzi,18,55,False,[],,
2022-04-15 18:37:57+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AndreasSteno: The most important chart in global macro right now! 🙀

Mind the gap! https://t.co/rz4T4qTWKV",0.3366071428571429,0.5089285714285714,en,1330,308,davideiacovozzi,18,55,False,[],,
2022-04-15 18:11:20+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AndreasSteno: JAPANIFICATION OF YIELDS GONE?

The Japanification thesis actually suggests that a bit of life will be blown into the EUR…",0.0,0.1,en,37,8,davideiacovozzi,18,55,,[],,
2022-04-14 14:50:01+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Schuldensuehner: ECB's Lagarde: #ECB will complete asset purchases first, hike some time thereafter. ""Some time after"" can be anytime b…",0.175,0.3666666666666667,en,367,136,davideiacovozzi,18,55,,"[{'text': 'ECB', 'indices': [36, 40]}]",,
2022-04-13 14:08:57+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @LanceRoberts: Another reason #deflation is a larger problem going forward. 
#Inventories have been ramping up, but #NewOrders are dropp…",0.0,0.5,en,80,17,davideiacovozzi,18,55,,"[{'text': 'deflation', 'indices': [33, 43]}, {'text': 'Inventories', 'indices': [80, 92]}, {'text': 'NewOrders', 'indices': [119, 129]}]",,
2022-04-13 14:02:43+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MacroAlf: 30-year mortgage rates above 5%, highest since 2010.

The Fed wants to cool down demand, and slowing down the housing market…",0.0477777777777777,0.2855555555555556,en,1689,290,davideiacovozzi,18,55,,[],,
