created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Apr 22 22:20:18 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @nikitheblogger: Irre: Annalena Baerbock sagt, es bricht ihr das Herz, dass man nicht bedingungslos schwere Waffen liefert.
Mir bricht e…",0.0,0.0,de,2356,355,McMc74078966,3,12,,[],"nikitheblogger , sagt_mit , Kryptonoun , WRi007 , WRi007 , RolandTichy , biggyyyyyyy , SiriaBlack_II , Darling_2022 , rosenbusch_ , kickout55711802 , Safka111 , sagt_mit , ben_brechtken , nikitheblogger , Siebziger69 , VeryKimJerry , SWagenknecht , AusSpanienniks1 , Ira74448224 , JensJahr , Jagdfrevler , SGW210 , Mein_Standpunkt , Heidibor53 , derPhiloGraph , Division1979 , SHomburg , nikitheblogger , Not_givn_awayV8 , Erwin49711423 , maikefst , Kryptonoun , brandsatz23 , Kryptonoun , argonerd , AntjeHermenau , JoergRMayer , axelmeyerko , JoanaCotar , NorthstarCharts , MichaelAArouet , goldseek , charliebilello , biancoresearch , LanceRoberts , MacroAlf , BotBenFranklin , Galactic_Trader , AndreasSteno , WallStreetSilv , AndreasSteno , AndreasSteno , Schuldensuehner , LanceRoberts , MacroAlf",
Fri Apr 22 22:19:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sagt_mit: Merkel schaffte es in 1 Jahr 1 Million ""Flüchtlinge"" durchzufüttern, jedoch nicht nach 16 Jahren 1 Million Rentner aus der Ar…",0.0,0.0,de,1985,505,McMc74078966,3,12,,[],,
Fri Apr 22 22:17:28 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Kryptonoun: @WRi007 Pharma in Lebensmitteln, Trinkwasser, in der Luft oder in der Zahnpasta irgendwo muss ein Beruhigungsmittel bzw. Be…",0.0,0.0,de,16,4,McMc74078966,3,12,,[],,
Fri Apr 22 22:17:20 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @WRi007: Die #Deutschen sind ein braves Volk!. Mit #Spritpreisen von 2 Euro abgefunden. Mit #inflation abgefunden. Mit höheren #Abgaben…,0.0,0.0,de,1242,332,McMc74078966,3,12,,"[{'text': 'Deutschen', 'indices': [16, 26]}, {'text': 'Spritpreisen', 'indices': [54, 67]}, {'text': 'inflation', 'indices': [95, 105]}, {'text': 'Abgaben', 'indices': [130, 138]}]",,
Fri Apr 22 22:13:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RolandTichy: Baerbock verkündet mal so nebenhin in Riga das Ende der Energieimporte aus Russland. Habeck rudert schon zurück, Scholz sc…",0.0,0.0,de,1329,386,McMc74078966,3,12,,[],,
Fri Apr 22 22:12:51 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @biggyyyyyyy: https://t.co/jvvA7F9m4U,0.0,0.0,und,252,77,McMc74078966,3,12,False,[],,
Fri Apr 22 22:12:17 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SiriaBlack_II: Ich bin mir sicher, dass viele unserer  Politclowns strohdumm sind.
Noch sicherer bin ich mir allerdings, dass #Baerbock…",0.0,0.0,de,1018,129,McMc74078966,3,12,,"[{'text': 'Baerbock', 'indices': [130, 139]}]",,
Fri Apr 22 22:10:01 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Darling_2022: Ich wiederhole mich gerne noch einmal! Ich bin NICHT bereit, für Selenskyi und Melnyk an Hunger zu sterben, im Winter zu…",0.0,0.0,de,3824,860,McMc74078966,3,12,,[],,
Fri Apr 22 22:09:38 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @rosenbusch_: Brigadegeneral a. D. Erich Vad:

„Wir brauchen in Zentraleuropa keinen Stellvertreterkrieg, der das Potential hat, zu eine…",0.0,1.0,de,2895,926,McMc74078966,3,12,,[],,
Fri Apr 22 22:04:16 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @kickout55711802: Klasse Rede über die Ferne zur Realität unserer Politiker. https://t.co/j1Kr8F8iM1,0.0,0.0,de,479,285,McMc74078966,3,12,False,[],,
Fri Apr 22 22:01:11 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Safka111: Sorry als Mutter von 3 Kindern, von denen 2 schon die Suche um einen Studienplatz hinter sich haben, finde ich es krass unver…",-0.5,1.0,de,640,159,McMc74078966,3,12,,[],,
Fri Apr 22 22:00:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @sagt_mit: #IchHabeNICHTMitgemacht https://t.co/ICUM4QbQW3,0.0,0.0,und,1000,290,McMc74078966,3,12,False,"[{'text': 'IchHabeNICHTMitgemacht', 'indices': [14, 37]}]",,
